Date,Alert Name,Asset,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used,Summary,Description
25:July:2026 07:38:09,WindowsServerDiskSpaceUsage,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical 50%,Disk,24 Core,64.00 GB,600.00 GB,D:,272.34 GB,327.66 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.176.158, Drive: D:","Disk usage is above 50%
Used = 54.61%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS volume:D:]"
25:July:2026 07:38:09,WindowsServerDiskSpaceUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Critical 50%,Disk,36 Core,64.00 GB,600.00 GB,D:,287.28 GB,312.72 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.225, Drive: D:","Disk usage is above 50%
Used = 52.12%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS volume:D:]"
25:July:2026 07:40:43,InstanceDown,CA,192.168.176.153,Stoxkart-RupeeSeed-DR,LAMA,Critical - Instance Down,Stoxkart,8 Core,31.24 GB,299.85 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.176.153",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.153 job:Stoxkart-RupeeSeed-DR]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.153 job:Stoxkart-RupeeSeed-DR] has been down for more than 1 minutes.
25:July:2026 07:43:09,LinuxServerRootDiskSpace,CA,192.168.1.173,Stoxkart-RupeeSeed,LAMA,Critical 50%,Disk,8 Core,31.24 GB,299.85 GB,/home,144.11 GB,155.74 GB,"Linux Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.173, Mountpoint: /home","Disk usage is above 50%
Used = 51.94%
Server Details = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.173 job:Stoxkart-RupeeSeed mountpoint:/home]"
25:July:2026 07:49:13,InstanceDown,CA,192.168.1.159,Stoxkart-Odin-Manager,LAMA,Critical - Instance Down,Stoxkart-Moneywise,24 Core,62.26 GB,455.64 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.1.159",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:LAMA group1:Moneywise instance:192.168.1.159 job:Stoxkart-Odin-Manager]  GroupName = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:LAMA group1:Moneywise instance:192.168.1.159 job:Stoxkart-Odin-Manager] has been down for more than 1 minutes.
25:July:2026 07:53:14,WindowsServerDiskSpaceUsage,CA,192.168.1.161,Stoxkart-Odin-Connect,Product-team,Critical 50%,Disk,16 Core,64.00 GB,292.97 GB,D:,146.48 GB,146.48 GB,"Windows Server Disk Space Usage 50% - Group: Product-team, Instance: 192.168.1.161, Drive: D:","Disk usage is more than 50%
Free Space = 50.15GB
Server Details = map[Asset:CA company:Stoxkart-Moneywise group:Product-team group1:Moneywise instance:192.168.1.161 job:Stoxkart-Odin-Connect volume:D:]"
25:July:2026 07:54:13,InstanceDown,CA,192.168.1.159,Stoxkart-Odin-Manager,LAMA,Critical - Instance Down,Stoxkart-Moneywise,24 Core,62.26 GB,455.64 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.1.159",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:LAMA group1:Moneywise instance:192.168.1.159 job:Stoxkart-Odin-Manager]  GroupName = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:LAMA group1:Moneywise instance:192.168.1.159 job:Stoxkart-Odin-Manager] has been down for more than 1 minutes.
25:July:2026 08:00:58,InstanceDown,CA,192.168.1.159,Stoxkart-Odin-Manager,LAMA,Critical - Instance Down,Stoxkart-Moneywise,24 Core,62.26 GB,455.64 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.1.159",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:LAMA group1:Moneywise instance:192.168.1.159 job:Stoxkart-Odin-Manager]  GroupName = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:LAMA group1:Moneywise instance:192.168.1.159 job:Stoxkart-Odin-Manager] has been down for more than 1 minutes.
25:July:2026 08:10:58,InstanceDown,CA,192.168.1.159,Stoxkart-Odin-Manager,LAMA,Critical - Instance Down,Stoxkart-Moneywise,24 Core,62.26 GB,455.64 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.1.159",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:LAMA group1:Moneywise instance:192.168.1.159 job:Stoxkart-Odin-Manager]  GroupName = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:LAMA group1:Moneywise instance:192.168.1.159 job:Stoxkart-Odin-Manager] has been down for more than 1 minutes.
25:July:2026 08:13:06,LinuxServerRootDiskSpace,CA,192.168.1.159,Stoxkart-Odin-Manager,LAMA,Critical 50%,Disk,24 Core,62.26 GB,455.64 GB,/,223.99 GB,231.65 GB,"Linux Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.159, Mountpoint: /","Disk usage is above 50%
Used = 50.84%
Server Details = map[Asset:CA company:Stoxkart-Moneywise device:/dev/mapper/rhel-root fstype:ext4 group:LAMA group1:Moneywise instance:192.168.1.159 job:Stoxkart-Odin-Manager mountpoint:/]"
25:July:2026 08:34:21,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Critical 50%,Disk,24 Core,94.24 GB,449.86 GB,/home,97.21 GB,352.64 GB,"Linux Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk usage is above 50%
Used = 78.39%
Server Details = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
25:July:2026 08:34:23,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Warning 60%,Disk,24 Core,94.24 GB,449.86 GB,/home,179.94 GB,269.91 GB,"LinuxServerRootDiskSpace Usage 60% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk is almost full (< 40% left)
  Available = 21.61GB 
  ServerDetails = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
25:July:2026 08:34:23,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Critical 65%,Disk,24 Core,94.24 GB,449.86 GB,/home,157.45 GB,292.41 GB,"LinuxServerRootDiskSpace Usage 65% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk is almost full (< 35% left)
  Available = 21.61GB 
  ServerDetails = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
25:July:2026 08:34:51,WindowsServerDiskSpaceUsage,CA,192.168.1.155,Stoxkart-Odin-Manager-DBServer,LAMA,Critical 50%,Disk,16 Core,64.00 GB,299.98 GB,F:,141.92 GB,158.06 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.155, Drive: F:","Disk usage is above 50%
Used = 52.69%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.155 job:Stoxkart-Odin-Manager-DBServer volume:F:]"
25:July:2026 08:35:43,InstanceDown,CA,192.168.176.154,Stoxkart-RupeeSeed-DR,LAMA,Critical - Instance Down,Stoxkart,24 Core,78.49 GB,299.85 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.176.154",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.154 job:Stoxkart-RupeeSeed-DR]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.154 job:Stoxkart-RupeeSeed-DR] has been down for more than 1 minutes.
25:July:2026 08:38:09,WindowsServerDiskSpaceUsage,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical 50%,Disk,24 Core,64.00 GB,600.00 GB,D:,272.10 GB,327.90 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.176.158, Drive: D:","Disk usage is above 50%
Used = 54.65%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS volume:D:]"
25:July:2026 08:38:09,WindowsServerDiskSpaceUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Critical 50%,Disk,36 Core,64.00 GB,600.00 GB,D:,287.10 GB,312.90 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.225, Drive: D:","Disk usage is above 50%
Used = 52.15%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS volume:D:]"
